Id,UserId,Timestamp,Action,Details
2285ecc1-3bc4-45cf-ba50-c37feacfdb46,,2025-12-31T17:18:00.8442363,User,Login attempt Email:patient@gmail.com Success:True Message:
13bd147b-1db2-4689-a38f-479e97f28ca3,1dec9343-0ced-4199-bcb8-0f68b1b55301,2025-12-31T17:19:37.6025003,Apponiment,Booking failed - no available doctor. PatientId:dc15c0a7-31bf-4fa9-9212-400636c3e749 Time:2025-12-31T17:19:07.1370000Z
a587fd3b-b37a-4598-b6d1-21a4cd1052ef,1dec9343-0ced-4199-bcb8-0f68b1b55301,2025-12-31T17:19:42.7314041,Apponiment,Booking failed - bad request: Сan't create an appointment in the past. (Parameter 'AppointmentTime'). PatientId:dc15c0a7-31bf-4fa9-9212-400636c3e749 DoctorId:b4a5880d-23b6-4b98-8236-ee8547552547 Time:2025-12-31T17:19:07.1370000Z
cc6bde62-c289-47ea-ab7f-42d78e16ef8b,1dec9343-0ced-4199-bcb8-0f68b1b55301,2025-12-31T17:19:51.8415784,Apponiment,Booked AppointmentId:dbadaf1f-5644-4573-9562-053755a52114 PatientId:dc15c0a7-31bf-4fa9-9212-400636c3e749 DoctorId:b4a5880d-23b6-4b98-8236-ee8547552547 Time:2026-12-31T17:19:07.1370000Z
0f3f21b2-eb9f-4598-874c-bb76d1e4512f,,2025-12-31T17:20:24.9122875,User,Login attempt Email:doctor@gmail.com Success:True Message:
81754d85-6501-49d8-8440-ea0831e8b26a,,2025-12-31T17:21:32.5757381,User,Login attempt Email:admin@gmail.com Success:True Message:
c7a0f3d4-3097-4afa-8f60-99b144a2593d,5f2395a3-9746-4127-a1d8-4ed25eaeb799,2025-12-31T17:23:40.6963528,User,Blocked user. TargetUserId:64a5ec70-b1aa-405c-a618-097a5916aac6 ByUserId:5f2395a3-9746-4127-a1d8-4ed25eaeb799
3fc58caa-e3a3-416d-9c7f-c13d20465e89,,2025-12-31T17:24:01.6454813,User,Login attempt Email:admin@gmail.com Success:True Message:
643cb328-2f39-4541-8929-4d13e60e84d9,,2025-12-31T17:24:17.9114304,User,Login attempt Email:doctor@gmail.com Success:False Message:User is blocked.
19634b33-333f-4699-8d2f-82263a7d8824,5f2395a3-9746-4127-a1d8-4ed25eaeb799,2025-12-31T17:24:32.4097385,User,Unblocked user. TargetUserId:64a5ec70-b1aa-405c-a618-097a5916aac6 ByUserId:5f2395a3-9746-4127-a1d8-4ed25eaeb799
5f063c07-35a9-4c4e-a199-c815e6fad37f,,2025-12-31T17:24:47.7360610,User,Login attempt Email:doctor@gmail.com Success:True Message:
7a830497-686a-4db8-ac92-50a58d40edb4,,2025-12-31T17:24:51.5134157,User,Login attempt Email:doctor@gmail.com Success:True Message:
